feature,mean_abs_shap
Sensor_6_cumulative_delta,15.389263299826771
Sensor_9_cumulative_delta,14.68513982957668
Sensor_9_rolling_mean_5,13.310964682236303
Sensor_4_rolling_mean_5,4.289227044555245
Sensor_11_lag_1,3.965481580539846
Sensor_12,3.673765502074047
Sensor_13,2.9448952739373966
Sensor_3_lag_1,2.494324669074496
Sensor_3_rolling_mean_10,2.392377228202971
Sensor_3,2.233180817983467
Sensor_3_delta,2.213872008129266
Sensor_8,2.2084212388894517
Sensor_13_delta,2.0945111981380897
Sensor_12_lag_5,2.005514244364238
Sensor_17_lag_1,1.997473976402877
Sensor_15_lag_1,1.9877934412699332
Sensor_21,1.929989168478862
Sensor_11_lag_5,1.9241293298266096
Sensor_13_lag_1,1.906604108463805
Sensor_8_rolling_mean_5,1.8264434519076898
Sensor_12_lag_2,1.8100305442024678
Sensor_11_lag_2,1.7886336909073788
Sensor_11_lag_3,1.7854675492935612
Sensor_17_rolling_mean_10,1.720137506127292
Sensor_8_lag_2,1.6356463330652915
Sensor_8_lag_5,1.6233609400312619
Sensor_15_lag_2,1.6206510715576719
Sensor_7_lag_3,1.5890943643497761
Sensor_7_lag_1,1.5411892419943416
Sensor_2,1.5220536091640475
Sensor_13_lag_5,1.4929858377322451
Sensor_7_lag_2,1.4837855920616922
Sensor_13_lag_3,1.4322320195441907
Sensor_9_rolling_std_10,1.4101550583964089
Sensor_7_lag_5,1.4006850297953952
Sensor_12_lag_3,1.383056019116724
Sensor_11_delta,1.38013934870658
Sensor_20_lag_3,1.3716548084700744
Sensor_8_lag_3,1.3308016927504867
Sensor_4_lag_5,1.3107754580241957
Sensor_21_lag_5,1.3067951050171518
Sensor_12_lag_1,1.2957036896871663
Sensor_21_delta,1.2950386088293362
Sensor_13_lag_2,1.2913764028971784
Sensor_2_lag_3,1.2843695592108748
Sensor_21_lag_2,1.2734561443383903
Sensor_7,1.2688131503769202
Sensor_8_lag_1,1.2221043883347367
Sensor_15_lag_5,1.188475553810434
Sensor_2_delta,1.1377180241536085
Sensor_15_lag_3,1.1266771862320903
Sensor_21_lag_3,1.1234128768473992
Sensor_21_lag_1,1.1153658702337157
Sensor_17_delta,1.1057589450542766
Sensor_2_lag_2,1.1048085737012103
Sensor_4_delta,1.100176422776353
Sensor_4,1.0664671163022406
Sensor_2_lag_5,1.052423416598221
Sensor_20_lag_1,1.0387890972812914
Sensor_2_lag_1,1.0266398935233845
Sensor_4_lag_2,1.0218686411202074
Sensor_3_lag_3,0.9918731645366481
Sensor_3_lag_5,0.9874334170247571
Sensor_4_lag_3,0.9739650055664392
Sensor_4_lag_1,0.9736532173901686
Sensor_3_lag_2,0.9726479666658107
Sensor_17_lag_5,0.9666748099182576
Sensor_17,0.9625572813737726
Sensor_17_lag_3,0.962184971598402
Sensor_20_lag_2,0.9554136242621383
Sensor_15,0.9470286243979428
Sensor_8_rolling_std_10,0.9374335100669416
Sensor_15_delta,0.9272877421424462
Sensor_20_lag_5,0.9153706244647734
Sensor_20,0.883442652678855
Sensor_17_lag_2,0.855568038229209
Sensor_14_rolling_std_10,0.8270266051918452
Sensor_20_rolling_std_10,0.7924410917367843
